Time,o[t],d[t],v[t],M_fl[t],x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
11200,0.886679,0.839288,0.074094,0.055139,-0.796947,1.903875,-1.067511,1.559724,-0.924067,1.719961,-1.249310,1.406465,-1.188710,1.941085
11520,0.913386,0.840648,0.071462,0.054871,-0.793661,1.905146,-1.066026,1.562354,-0.921416,1.722174,-1.244610,1.407529,-1.182984,1.939051
11840,0.929966,0.841879,0.087074,0.068171,-0.790399,1.906482,-1.064131,1.564713,-0.918079,1.724423,-1.240017,1.408817,-1.177286,1.937248
12160,0.977442,0.842512,0.108120,0.089038,-0.787210,1.907903,-1.060817,1.566909,-0.914311,1.726390,-1.235527,1.410214,-1.173442,1.937056
12480,0.932087,0.842448,0.164872,0.129463,-0.784138,1.908996,-1.055127,1.568595,-0.910057,1.727996,-1.230764,1.411748,-1.164838,1.944386
12800,0.800233,0.840789,0.136238,0.091665,-0.776517,1.905380,-1.052433,1.570324,-0.905722,1.729048,-1.226253,1.413160,-1.157833,1.957039
13120,0.870862,0.840101,0.069257,0.050669,-0.771878,1.901613,-1.049705,1.571804,-0.901207,1.729572,-1.221763,1.414584,-1.154720,1.964720
13440,0.967504,0.840210,0.081855,0.066540,-0.768674,1.901577,-1.046865,1.572917,-0.896753,1.729542,-1.217331,1.415951,-1.151188,1.966885
13760,0.943760,0.840219,0.095977,0.076107,-0.765383,1.903401,-1.043741,1.573530,-0.892279,1.728965,-1.212920,1.417218,-1.146831,1.968151
14080,0.904835,0.839740,0.099862,0.075878,-0.762568,1.904613,-1.040516,1.574127,-0.887828,1.727818,-1.208516,1.418328,-1.140530,1.973869
14400,0.853713,0.838581,0.084749,0.060673,-0.757363,1.902944,-1.037204,1.574705,-0.884094,1.726398,-1.204120,1.419313,-1.136415,1.981449
14720,0.988767,0.838351,0.072321,0.059949,-0.754246,1.902815,-1.034087,1.575304,-0.881757,1.726681,-1.199906,1.420267,-1.134256,1.984753
15040,0.976994,0.838359,0.088352,0.072367,-0.750934,1.904638,-1.030754,1.575666,-0.877943,1.726816,-1.195634,1.421253,-1.129514,1.986045
15360,0.940312,0.837957,0.093229,0.073459,-0.748041,1.905864,-1.027371,1.576037,-0.873964,1.726659,-1.191380,1.422157,-1.124171,1.990363
15680,0.914269,0.837002,0.088620,0.067816,-0.743817,1.905190,-1.023968,1.576516,-0.869987,1.726246,-1.187134,1.422980,-1.120470,1.996355
16000,0.972845,0.836522,0.076103,0.061933,-0.740294,1.906588,-1.020581,1.576920,-0.866005,1.725668,-1.182926,1.423720,-1.117901,1.998375
16320,0.966001,0.836434,0.063365,0.051199,-0.737140,1.908721,-1.017089,1.577222,-0.862013,1.724915,-1.178729,1.424378,-1.113997,1.998964
16640,0.947328,0.836120,0.081956,0.064916,-0.734233,1.910264,-1.013552,1.577551,-0.857924,1.724010,-1.174549,1.424952,-1.108873,2.001881
16960,0.887599,0.835205,0.080398,0.059601,-0.729694,1.909597,-1.009979,1.578067,-0.853734,1.722922,-1.170370,1.425451,-1.105043,2.006883
17280,0.971101,0.834727,0.063164,0.051201,-0.726156,1.909577,-1.006496,1.578996,-0.849473,1.721656,-1.166208,1.425917,-1.102668,2.009535
17600,0.916373,0.834766,0.048614,0.037188,-0.722534,1.910916,-1.004263,1.579769,-0.845175,1.720253,-1.162067,1.426386,-1.097750,2.009792
17920,0.921689,0.834819,0.082033,0.063120,-0.719118,1.912512,-1.002370,1.582082,-0.840949,1.718824,-1.158120,1.426892,-1.093307,2.010441
18240,0.950472,0.834559,0.085431,0.067766,-0.715829,1.913298,-1.000526,1.584440,-0.837526,1.718091,-1.154254,1.427576,-1.088730,2.013941
18560,0.829461,0.834615,0.087453,0.060542,-0.711559,1.912756,-0.999982,1.586815,-0.834768,1.719266,-1.150578,1.428580,-1.083321,2.016860
18880,0.832291,0.834813,0.094228,0.065470,-0.707377,1.911438,-0.999795,1.589787,-0.831823,1.721287,-1.147195,1.430120,-1.078906,2.019651
19200,0.944873,0.835002,0.100822,0.079546,-0.704069,1.911439,-0.999334,1.592749,-0.829443,1.723247,-1.144080,1.432019,-1.074681,2.022762
19520,0.967177,0.834790,0.114297,0.092282,-0.700873,1.913516,-0.998653,1.595669,-0.826819,1.725577,-1.141242,1.434261,-1.070885,2.026312
19840,0.948548,0.834862,0.098949,0.078358,-0.698123,1.914632,-0.997764,1.598528,-0.824363,1.727840,-1.138654,1.436730,-1.067247,2.029615
20160,0.966000,0.834871,0.100611,0.081141,-0.694475,1.915061,-0.996711,1.601335,-0.821655,1.729904,-1.136240,1.439309,-1.063563,2.032650
20480,0.970163,0.834828,0.110084,0.089159,-0.691384,1.917014,-0.995556,1.604102,-0.818760,1.732345,-1.133966,1.441991,-1.059670,2.035513
20800,0.947288,0.834938,0.091844,0.072642,-0.688228,1.917837,-0.994321,1.606847,-0.816289,1.734365,-1.131773,1.444689,-1.056201,2.038220
21120,0.991228,0.834848,0.110378,0.091341,-0.684938,1.919615,-0.993007,1.609533,-0.813766,1.736547,-1.129686,1.447458,-1.052690,2.041114
21440,0.987973,0.834815,0.092039,0.075911,-0.682622,1.922513,-0.991626,1.612203,-0.811156,1.738767,-1.127702,1.450269,-1.049382,2.043776
21760,0.919194,0.834830,0.098532,0.075611,-0.679688,1.923742,-0.990187,1.614834,-0.808378,1.740779,-1.125739,1.453085,-1.045845,2.046659
22080,0.980467,0.834800,0.089358,0.073139,-0.676102,1.924072,-0.988630,1.617387,-0.805408,1.742900,-1.123820,1.455916,-1.043004,2.049217
22400,0.984221,0.835046,0.104448,0.085843,-0.673394,1.926509,-0.986964,1.619870,-0.803180,1.745513,-1.121858,1.458687,-1.039571,2.050716
22720,0.940697,0.834876,0.092749,0.072842,-0.670445,1.927538,-0.985195,1.622290,-0.799433,1.747281,-1.119900,1.461456,-1.036587,2.053652
23040,0.961268,0.834915,0.109445,0.087838,-0.667243,1.929534,-0.983320,1.624630,-0.796914,1.749109,-1.117742,1.464006,-1.033321,2.055468
23360,0.959804,0.835003,0.096715,0.077511,-0.664776,1.931480,-0.981390,1.626914,-0.793932,1.751504,-1.115687,1.466669,-1.030134,2.057604
23680,0.988371,0.834776,0.104702,0.086387,-0.661443,1.932658,-0.979410,1.629166,-0.791095,1.753098,-1.113480,1.469166,-1.027132,2.060661
24000,0.975271,0.834798,0.102618,0.083547,-0.658834,1.934816,-0.977396,1.631392,-0.788607,1.755893,-1.111379,1.471750,-1.023793,2.063155
24320,0.974348,0.834668,0.108461,0.088207,-0.656080,1.936940,-0.975423,1.633654,-0.785918,1.757922,-1.109196,1.474209,-1.020392,2.066001
24640,0.902651,0.834512,0.090862,0.068444,-0.652980,1.937846,-0.974891,1.635892,-0.782932,1.760230,-1.107169,1.476761,-1.017585,2.068552
24960,0.958076,0.834513,0.094049,0.075195,-0.649885,1.939826,-0.974335,1.638834,-0.780692,1.762165,-1.105384,1.479442,-1.014929,2.070272
25280,0.956805,0.834369,0.088212,0.070422,-0.647734,1.942440,-0.973568,1.641732,-0.777453,1.764166,-1.103909,1.482335,-1.012107,2.072772
25600,0.942570,0.834491,0.098974,0.077849,-0.645154,1.944258,-0.972613,1.644570,-0.775182,1.766521,-1.102442,1.485165,-1.008347,2.075044
25920,0.970615,0.834235,0.098081,0.079418,-0.641669,1.944861,-0.971461,1.647333,-0.772036,1.768266,-1.100995,1.488027,-1.005684,2.077877
26240,0.969356,0.834246,0.098767,0.079871,-0.638943,1.947150,-0.970124,1.650017,-0.769682,1.770710,-1.099540,1.490852,-1.002232,2.080067
26560,0.983259,0.834191,0.089857,0.073703,-0.636170,1.948985,-0.968606,1.652598,-0.767215,1.772732,-1.097969,1.493631,-0.999189,2.082505
26880,0.993115,0.833976,0.106859,0.088504,-0.633257,1.950621,-0.966923,1.655075,-0.764221,1.774739,-1.096317,1.496351,-0.996452,2.085235
27200,0.981020,0.834086,0.092729,0.075876,-0.630815,1.953000,-0.965074,1.657440,-0.762071,1.777467,-1.094610,1.499000,-0.993023,2.087316
27520,0.996482,0.833796,0.091566,0.076079,-0.627792,1.953997,-0.963066,1.659666,-0.758766,1.779102,-1.092579,1.501458,-0.990935,2.090134
